Dia,Hora,Chuva,Temperatura,Umidade
03/02/2018,11:45:00,0,28.1,67
03/02/2018,12:00:00,0,27.1,71
03/02/2018,12:15:00,0,27.1,71
03/02/2018,12:30:00,0,27.1,69
03/02/2018,12:45:00,0,26.9,73
03/02/2018,13:00:00,0,26.9,75
03/02/2018,13:15:00,0,26.9,74
03/02/2018,13:30:00,0,26.9,74
03/02/2018,13:45:00,0,26.9,72
03/02/2018,14:00:00,0,27.6,70
03/02/2018,14:15:00,0,26.9,70
03/02/2018,14:30:00,0,28.1,69
03/02/2018,14:45:00,0,27.1,70
03/02/2018,15:00:00,0,26.9,72
03/02/2018,15:15:00,0,26.9,72
03/02/2018,15:30:00,0,26.9,72
03/02/2018,15:45:00,0,26.7,74
03/02/2018,16:00:00,0,26.7,73
03/02/2018,16:15:00,0,26.4,77
03/02/2018,16:30:00,0,26.4,75
03/02/2018,16:45:00,0,26.2,76
03/02/2018,17:00:00,0,26.2,75
03/02/2018,17:15:00,0,26.2,75
03/02/2018,17:30:00,0,25.9,76
03/02/2018,17:45:00,0,25.9,75
03/02/2018,18:00:00,0,25.9,76
03/02/2018,18:15:00,0,25.9,74
03/02/2018,18:30:00,0,25.7,75
03/02/2018,18:45:00,0,25.7,75
03/02/2018,19:00:00,0,25.9,75
03/02/2018,19:15:00,0,25.9,74
03/02/2018,19:30:00,0,25.9,74
03/02/2018,19:45:00,0,25.7,73
03/02/2018,20:00:00,0,25.7,73
03/02/2018,20:15:00,0,25.7,73
03/02/2018,20:30:00,0,25.7,73
03/02/2018,20:45:00,0,25.7,73
03/02/2018,21:00:00,0,25.7,73
03/02/2018,21:15:00,0,25.7,71
03/02/2018,21:30:00,0,25.7,71
03/02/2018,21:45:00,0,25.7,71
03/02/2018,22:00:00,0,25.7,71
03/02/2018,22:15:00,0,25.7,71
03/02/2018,22:30:00,0,25.7,71
03/02/2018,22:45:00,0,25.4,71
03/02/2018,23:00:00,0,25.7,70
03/02/2018,23:15:00,0,25.4,71
03/02/2018,23:30:00,0,25.4,70
03/02/2018,23:45:00,0,25.4,70
04/02/2018,00:00:00,0,25.7,69
04/02/2018,00:15:00,0,25.4,71
04/02/2018,00:30:00,0,25.4,72
04/02/2018,00:45:00,0,25.4,71
04/02/2018,01:00:00,0,25.4,71
04/02/2018,01:15:00,0,25.2,71
04/02/2018,01:30:00,0,25.2,70
04/02/2018,01:45:00,0,24.9,72
04/02/2018,02:00:00,0,24.5,73
04/02/2018,02:15:00,0,24.5,73
04/02/2018,02:30:00,0,24.2,73
04/02/2018,02:45:00,0,23.7,75
04/02/2018,03:00:00,0,24,75
04/02/2018,04:15:00,0,23.7,75
04/02/2018,04:30:00,0,23.7,74
04/02/2018,04:45:00,0,24,73
04/02/2018,05:00:00,0,23.7,72
04/02/2018,05:15:00,0,23.2,74
04/02/2018,05:30:00,0,23,75
04/02/2018,05:45:00,0,22.7,76
04/02/2018,06:00:00,0,22.3,79
04/02/2018,06:15:00,0,22.3,79
04/02/2018,06:30:00,0,22,79
04/02/2018,06:45:00,0,22,80
04/02/2018,07:00:00,0,21.8,82
04/02/2018,07:15:00,0,21.5,83
04/02/2018,07:30:00,0,21.8,82
04/02/2018,07:45:00,0,22,82
04/02/2018,08:00:00,0,22.7,81
04/02/2018,08:15:00,0,23.7,79
04/02/2018,08:30:00,0,24.5,77
04/02/2018,08:45:00,0,24.9,72
04/02/2018,09:00:00,0,25.2,64
04/02/2018,09:15:00,0,25.9,63
04/02/2018,09:30:00,0,27.1,59
04/02/2018,09:45:00,0,26.4,59
04/02/2018,10:00:00,0,27.1,59
04/02/2018,10:15:00,0,26.4,60
04/02/2018,10:30:00,0,26.7,60
04/02/2018,10:45:00,0,26.4,62
04/02/2018,11:00:00,0,27.4,58
04/02/2018,11:15:00,0,27.4,59
04/02/2018,11:30:00,0,27.9,58
04/02/2018,11:45:00,0,27.4,60
04/02/2018,12:00:00,0,28.1,57
04/02/2018,12:15:00,0,27.9,58
04/02/2018,12:30:00,0,27.6,58
04/02/2018,12:45:00,0,27.9,58
04/02/2018,13:00:00,0,27.4,57
04/02/2018,13:15:00,0,27.6,57
04/02/2018,13:30:00,0,27.6,57
04/02/2018,13:45:00,0,27.1,60
04/02/2018,14:00:00,0,27.4,60
04/02/2018,14:15:00,0,27.6,59
04/02/2018,14:30:00,0,27.6,58
04/02/2018,14:45:00,0,27.4,60
04/02/2018,15:00:00,0,26.9,60
04/02/2018,15:15:00,0,27.4,62
04/02/2018,15:30:00,0,26.9,62
04/02/2018,15:45:00,0,27.6,62
04/02/2018,16:00:00,0,26.7,65
04/02/2018,16:15:00,0,26.9,64
04/02/2018,16:30:00,0,27.4,64
04/02/2018,16:45:00,0,27.1,65
04/02/2018,17:00:00,0,26.9,65
04/02/2018,17:15:00,0,26.7,68
04/02/2018,17:30:00,0,26.7,66
04/02/2018,17:45:00,0,26.7,66
04/02/2018,18:00:00,0,26.7,66
04/02/2018,18:15:00,0,26.4,66
04/02/2018,18:30:00,0,26.2,68
04/02/2018,18:45:00,0,26.2,68
04/02/2018,19:00:00,0,25.9,69
04/02/2018,19:15:00,0,25.7,69
04/02/2018,19:30:00,0,25.9,69
04/02/2018,19:45:00,0,25.9,69
04/02/2018,20:00:00,0,25.9,69
04/02/2018,20:15:00,0,25.4,72
04/02/2018,20:30:00,0,24.9,74
04/02/2018,20:45:00,0,24.9,76
04/02/2018,21:00:00,0,24.5,75
04/02/2018,21:15:00,0,24.7,76
04/02/2018,21:30:00,0,24.7,74
04/02/2018,21:45:00,0,24.5,77
04/02/2018,22:00:00,0,24.2,78
04/02/2018,22:15:00,0,24.2,78
04/02/2018,22:30:00,0,24.2,78
04/02/2018,22:45:00,0,23.7,81
04/02/2018,23:00:00,0,24,80
04/02/2018,23:15:00,0,23.7,80
04/02/2018,23:30:00,0,23.5,81
04/02/2018,23:45:00,0,23.2,82
05/02/2018,00:00:00,0,23.2,82
05/02/2018,00:15:00,0,23.2,82
05/02/2018,00:30:00,0,23.5,82
05/02/2018,00:45:00,0,23,81
05/02/2018,01:00:00,0,23.5,80
05/02/2018,01:15:00,0,23.2,78
05/02/2018,01:30:00,0,23,80
05/02/2018,01:45:00,0,23,79
05/02/2018,02:00:00,0,23.2,78
05/02/2018,02:15:00,0,23.2,80
05/02/2018,02:30:00,0,23,80
05/02/2018,02:45:00,0,22.7,80
05/02/2018,03:00:00,0,22.7,81
05/02/2018,04:15:00,0,21.8,86
05/02/2018,04:30:00,0,21.8,87
05/02/2018,04:45:00,0.2,21.8,89
05/02/2018,05:00:00,0.2,22,91
05/02/2018,05:15:00,0.2,21.8,89
05/02/2018,05:30:00,0.2,21.5,90
05/02/2018,05:45:00,0,21.3,91
05/02/2018,06:00:00,0.2,21,93
05/02/2018,06:15:00,0,21,93
05/02/2018,06:30:00,0,21.3,93
05/02/2018,06:45:00,0,21,93
05/02/2018,07:00:00,0,21.3,93
05/02/2018,07:15:00,0,21.3,94
05/02/2018,07:30:00,0,21.3,94
05/02/2018,07:45:00,0,21.5,94
05/02/2018,08:00:00,0,21.5,93
05/02/2018,08:15:00,0,21.8,94
05/02/2018,08:30:00,0,22,93
05/02/2018,08:45:00,0,22.5,91
05/02/2018,09:00:00,0,23,88
05/02/2018,09:15:00,0,23.5,86
05/02/2018,09:30:00,0,23.5,83
05/02/2018,09:45:00,0,24.5,80
05/02/2018,10:00:00,0,24.2,79
05/02/2018,10:15:00,0,24.2,79
05/02/2018,10:30:00,0.2,23.7,82
05/02/2018,10:45:00,0.2,23.2,83
05/02/2018,11:00:00,0,23,78
05/02/2018,11:15:00,0,22.7,78
05/02/2018,11:30:00,0,23,80
05/02/2018,11:45:00,0,22.7,81
05/02/2018,12:00:00,0,22.7,79
05/02/2018,12:15:00,0,22.5,77
05/02/2018,12:30:00,0,22.5,75
05/02/2018,12:45:00,0,22.5,76
05/02/2018,13:00:00,0,22.7,80
05/02/2018,13:15:00,0.2,22.3,79
05/02/2018,13:30:00,0.2,22.5,83
05/02/2018,13:45:00,0.2,22.3,84
05/02/2018,14:00:00,0.4,22.3,86
05/02/2018,14:15:00,0.6,22,87
05/02/2018,14:30:00,0.2,22.3,88
